description,fee_type,html_url,id,label,level,name,online_type,picture_url,purchase_seconds_info,students_count
本课程为蓝桥云课新手入门指南，我们将带你了解蓝桥云课的常用功能和环境使用方法。课程将通过不同的小例子，让每位学员亲自体验到蓝桥云课线上环境的便捷性和易用性。,free,/courses/63,63,新人必学,2,新手入门指南之玩转蓝桥云课,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20210111-1610351194453,,449300
本课程教你如何熟练地使用 Linux，本实验中通过在线动手实验的方式学习 Linux 常用命令，用户与权限管理，目录结构与文件操作，环境变量，计划任务，管道与数据流重定向等基本知识点。,free,/courses/1,1,,2,Linux 基础入门,online_public,https://dn-simplecloud.shiyanlou.com/ncn1.jpg,,341469
极度舒适的新手入门课程，面向完全没有编程基础的同学。你将在一下午入门 Linux、Python 基础和Github 常用命令，为未来的编程大楼打下稳固的基础。,free,/courses/1330,1330,,2,Python 新手入门课,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid8504-20190712-1562930274699,,91495
VS Code 环境提供了一个可以在浏览器中使用与本地安装 VS Code 几乎一致的代码编辑环境。相对于本地安装，VS Code 环境最大的好处就是随处可用，同时具备较好的代码安全性。本次实验以我们提供的 VS Code 环境为例，你只需要几秒钟就可以开启线上开发环境。,free,/courses/3498,3498,全新环境,2,VS Code 环境使用指南,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20210114-1610615926547,,2269
C 语言是面向过程的程序设计语言，而 C++ 语言是由 C 语言演变而来的一种面向对象的程序设计语言。课程实验内容从 C++ 语言的概念开始，通过理论学习和实验操作，初步熟知 C++ 语言。,member,/courses/2752,2752,限时免费,2,C++ 基础入门实战,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20200903-1599111726579,,4329
机器学习开放基础课程是实验楼经由 Open Machine Learning Course 授权并制作的机器学习免费基础实战课。主要讲解机器学习常用的分类算法和回归算法，以及常用的数据预处理技巧。,free,/courses/1283,1283,倍受好评,2,机器学习开放基础课程,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20200807-1596796590958,,13421
本课程主要讲解了 Python 的 Django 框架的基础知识。通过学习本课程，可以熟悉 Django 框架的组成结构，并能在学习过程中了解 Django 的强大功能。,member,/courses/1127,1127,,2,Django 基础入门,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20200507-1588836640198,,21851
"本课程使用 C++ 11 实现了一个完全兼容 redis 的 kv 数据库项目——Qedis ；该项目会使用到一些 C++11 核心特性和 STL 库，并利用已有的 tcp 网络库，逐步构建出一个完全兼容 Redis 的更高性能的内存数据库。
通过本课程的学习，你可以学习到 C++11 的核心特性应用，Redis 核心功能逻辑实现，以及 Redis 服务的运作原理。",bootcamp,/courses/1341,1341,,3,C++ 从零实现 NoSQL 数据库,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid18510-20190717-1563357693503,,960
知识图谱（Knowledge Graph）是一门前沿的交叉学科，用于将人类社会的海量知识结构化，并提供一个可理解，可解释的一个模型。本训练营将以《射雕三部曲》为例，从 0 构建起一个可以实际应用的知识图谱，在课程中你将学习 Neo4j 数据库的使用和知识图谱的构建。,bootcamp,/courses/1354,1354,,3,知识图谱构建射雕三部曲人物关系,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid770606-20191017-1571278748855,,910
Ansible 这个简单易学的自动化工具可以满足业务线在速度和简洁性方面日益增加的需求，让我们更高效的同时管理多台服务器不再是想想而已。,member,/courses/606,606,,2,Ansible 基础入门,online_public,https://dn-simplecloud.shiyanlou.com/1470809694694.png,,1267
